permutation	ES
1	0.256676538109468
2	0.250632365515244
3	0.216358826934664
4	0.224601591401821
5	0.217720570057875
6	0.224706393677601
7	0.199692452098727
8	0.27967367799028
9	0.277596967730251
10	0.219709191687324
11	0.202968067588357
12	0.19654958631199
13	0.212088250558673
14	0.19871862039337
15	0.232355205655866
16	0.339643827291497
17	0.246879646884314
18	0.222249462122528
19	0.319300949850368
20	0.216957417372561
21	0.163154057616739
22	0.167568393372568
23	0.226313108066194
24	0.173140348810325
25	0.226754469461807
26	0.276738066444828
27	0.231394090861028
28	0.232696883152987
29	0.253896087421732
30	0.224766054664984
31	0.173009353277952
32	0.230144667516868
33	0.229601684384202
34	0.210504249503319
35	0.24523574017248
36	0.330099265140276
37	0.256359229433341
38	0.302141536466644
39	0.187663749772598
40	0.173124256000029
41	0.250874208473492
42	0.144424532118193
43	0.242631226806739
44	0.223771127355933
45	0.334839362094233
46	0.231507930408331
47	0.152409473138077
48	0.304967346356999
49	0.19568464556517
50	0.233649902857815
51	0.189055173638724
52	0.1849635896061
53	0.264161578354677
54	0.190748907074106
55	0.221321320846041
56	0.224359969885123
57	0.281761794708121
58	0.246709414037132
59	0.264783121864724
60	0.215223880158117
61	0.230531463993826
62	0.243394040421097
63	0.156499986174656
64	0.19709734129345
65	0.195418475772568
66	0.215852967534669
67	0.199990799545756
68	0.278455918852398
69	0.24258643976168
70	0.26200901903355
71	0.216117866715203
72	0.214834141820753
73	0.254903148424102
74	0.215690592421277
75	0.182370333953359
76	0.181375435377878
77	0.241613525353629
78	0.209483168778362
79	0.251575158580033
80	0.259879665513826
81	0.336814711502214
82	0.229522077389148
83	0.205679437262436
84	0.214403732392456
85	0.238978500268227
86	0.194275648518242
87	0.253988686694347
88	0.244081923107539
89	0.186710828363973
90	0.205636979624569
91	0.213947977266509
92	0.16754562113845
93	0.280457595488971
94	0.276608230321842
95	0.244204419356816
96	0.184876675092914
97	0.2554943811599
98	0.16923183744687
99	0.210938390300598
100	0.255234181182275
101	0.368313086668118
102	0.245930615419405
103	0.226439968854999
104	0.157612338439252
105	0.256177473761537
106	0.236661056352322
107	0.182695400735671
108	0.227109306112796
109	0.25194818795476
110	0.148416049292538
111	0.183680964983045
112	0.272804709622154
113	0.215204815231882
114	0.245668418587814
115	0.168087223247366
116	0.187764395853543
117	0.224392286650461
118	0.219580849120286
119	0.242928447069066
120	0.235059291555246
121	0.214240091970514
122	0.193453603758651
123	0.338796986271179
124	0.255113260335592
125	0.195487715643204
126	0.282668052274081
127	0.240955376664247
128	0.285859281855725
129	0.282018146126671
130	0.208430865080937
131	0.202414422030803
132	0.227705195183455
133	0.271573436349668
134	0.266368158027052
135	0.207581951788099
136	0.192377217894751
137	0.179032263292284
138	0.205101833981151
139	0.220018236540162
140	0.184153264522808
141	0.257354986716059
142	0.275530020774448
143	0.192584484910875
144	0.232628275297126
145	0.283079517599298
146	0.269969509591694
147	0.190087346014209
148	0.238750270221255
149	0.286352765129691
150	0.246531213495653
151	0.251570841515889
152	0.208410884554636
153	0.227802552859541
154	0.232225214081705
155	0.231667978964875
156	0.23550243486042
157	0.262167230108817
158	0.20809481876363
159	0.239807518268534
160	0.166774240533232
161	0.162880548603478
162	0.16186320808809
163	0.204481919380582
164	0.230432274677181
165	0.206775988858107
166	0.216972530126802
167	0.228426116152281
168	0.228500525589473
169	0.207547901997863
170	0.272815132088735
171	0.260148940245264
172	0.174840652746781
173	0.191662794365683
174	0.194993068425244
175	0.200986085687428
176	0.231973158620472
177	0.217964099332034
178	0.259666965906821
179	0.187825550837526
180	0.299617746381286
181	0.194585540114299
182	0.189306114912618
183	0.235460265263124
184	0.213411376453131
185	0.248180940864476
186	0.267009220376745
187	0.253464588720688
188	0.156210384445379
189	0.256823526534158
190	0.238918613782101
191	0.239738016327026
192	0.277202393519091
193	0.222027879187074
194	0.20989911429339
195	0.342727732389211
196	0.156632723398177
197	0.193998060624488
198	0.248113767997535
199	0.19284996129421
200	0.207041695931529
201	0.191139327724253
202	0.25458591917209
203	0.274154181366177
204	0.274193962725284
205	0.321276599434929
206	0.25537491423815
207	0.270484979934818
208	0.214905164258141
209	0.235253307921687
210	0.238912318108987
211	0.175691429956445
212	0.254484302719493
213	0.240919637511877
214	0.220575805305709
215	0.281465316421792
216	0.246813834986424
217	0.234138682017432
218	0.22378310251186
219	0.220959840275385
220	0.270795659017554
221	0.272082059637643
222	0.25719569331101
223	0.218278600649469
224	0.234802849405644
225	0.248062140459265
226	0.237793019889195
227	0.212002660738482
228	0.159419529507765
229	0.173604277628551
230	0.194666370251218
231	0.246958510855705
232	0.224027288700041
233	0.172182232276985
234	0.181469687189265
